,elevation,TAVG
143,232.6,57.473435114503815
144,234.4,58.6489655172414
145,234.7,52.438620689655174
146,235.6,53.6556488549618
147,237.1,53.21586206896557
148,238.0,50.000684410646414
149,239.3,66.43103448275862
150,240.5,73.66344827586202
151,240.8,58.66137931034483
152,241.1,55.54221374045801
153,246.9,58.67724137931035
154,249.3,59.383203124999966
155,251.2,60.53241379310348
156,256.3,53.50827586206898
157,256.6,46.94827586206895
158,259.1,38.62761363636364
159,264.0,51.6632824427481
160,264.6,53.308275862068975
161,264.9,59.43517241379311
162,265.8,52.51448275862068
163,267.0,60.77379310344828
164,271.3,63.63379310344824
165,272.2,60.70344827586206
166,274.3,48.84344827586208
167,277.4,60.10896551724139
168,283.5,54.63586206896552
169,286.5,62.98103448275856
170,291.7,57.70827586206896
171,293.2,63.86206896551727
172,298.7,61.145517241379245
173,299.3,57.79241379310344
174,304.8,57.42390804597706
175,306.3,59.91655172413792
176,307.8,67.51448275862066
177,310.0,67.54620689655171
178,310.3,48.516551724137955
179,317.0,30.59954545454546
180,320.0,32.07840909090908
181,321.9,52.23999999999998
182,324.3,56.26068965517243
183,333.8,54.87586206896554
184,337.4,79.8427586206897
185,343.5,60.005517241379344
186,344.0,51.63876447876449
187,348.0,42.83613899613897
188,348.4,63.02137931034488
189,350.8,48.58896551724137
190,358.1,61.859310344827556
191,359.7,54.45655172413787
192,360.6,42.95103448275858
193,362.7,57.597931034482755
194,365.8,38.16840909090907
195,366.7,56.60758620689656
196,368.2,56.247586206896564
197,378.0,34.53363636363637
198,381.6,55.27724137931031
199,388.6,34.685000000000024
200,389.2,35.988965517241354
201,389.5,61.85586206896552
202,390.1,51.29793103448274
203,391.7,64.87241379310345
204,394.7,55.09702290076334
205,395.3,59.47103448275867
206,396.8,49.04344827586209
207,397.5,49.48344827586209
208,402.3,36.81363636363637
209,406.9,62.332413793103456
210,409.0,41.60818181818181
211,410.0,42.83323076923075
212,415.7,60.60344827586206
213,418.8,62.33586206896551
214,426.7,36.25727272727271
215,428.2,40.38772727272729
216,435.3,44.39793103448276
217,435.9,52.64206896551722
218,437.7,56.65310344827587
219,447.8,58.8393103448276
220,457.2,60.76344827586209
221,461.8,54.59655172413788
222,472.7,54.01172413793101
223,476.1,34.50694656488551
224,489.5,49.26827586206898
225,490.7,32.361363636363635
226,503.8,37.723181818181835
227,505.4,48.984137931034454
228,531.0,51.94827586206892
229,533.4,33.25727272727273
230,545.6,68.2013793103448
231,560.8,55.696551724137926
232,563.9,32.13140684410645
233,569.1,59.99034482758618
234,573.0,39.66227272727275
235,576.1,70.69379310344827
236,579.7,48.65862068965519
237,594.7,66.88758620689657
238,603.2,55.39586206896549
239,609.6,35.77110266159696
240,627.9,49.98636363636361
241,634.0,36.00909090909092
242,640.1,38.116590909090895
243,645.3,60.360000000000014
244,649.5,76.09793893129772
245,652.3,47.888409090909114
246,667.8,56.32896551724141
247,685.8,48.45704545454548
248,695.0,41.08756756756759
249,696.5,49.30137931034479
250,716.3,34.080227272727264
251,717.2,52.39862068965519
252,723.0,41.30661596958173
253,762.0,49.17022727272727
254,766.3,56.34827586206896
255,776.9,74.93517241379311
256,786.4,47.17862068965519
257,787.9,49.39172413793104
258,789.4,53.87331639135959
259,816.9,50.87125475285174
260,819.9,48.45909090909088
261,846.7,54.894482758620676
262,853.4,33.15460076045627
263,857.7,57.05793103448272
264,874.2,70.37724137931036
265,890.0,46.04068181818184
266,893.1,46.06669201520911
267,901.3,47.18000000000001
268,914.4,30.091590909090908
269,926.6,46.30045454545458
270,927.5,52.061379310344826
271,932.7,46.16068181818184
272,940.0,46.82189723320159
273,944.9,32.59338403041824
274,947.9,47.49704545454546
275,963.2,50.1622053231939
276,972.9,49.32000000000001
277,975.4,46.664886363636356
278,984.5,44.47318181818185
279,993.3,63.85139130434783
280,996.7,50.9422727272727
281,1008.9,46.53874999999998
